Date,Open,High,Low,Close,Adj Close,Volume
2019-08-06,21.700001,23.799999,21.700001,22.549999,22.549999,2250
2019-08-07,23.500000,23.500000,22.500000,22.900000,22.900000,262
2019-08-08,23.950001,23.950001,21.799999,23.549999,23.549999,1734
2019-08-09,24.600000,24.600000,24.100000,24.350000,24.350000,166
2019-08-13,24.600000,24.600000,23.150000,23.150000,23.150000,2
2019-08-14,23.150000,24.200001,22.700001,23.950001,23.950001,200
2019-08-16,24.100000,24.950001,22.799999,23.100000,23.100000,806
2019-08-19,23.700001,23.700001,23.000000,23.000000,23.000000,97
2019-08-20,23.750000,23.750000,21.850000,21.850000,21.850000,3
2019-08-21,22.000000,22.850000,21.000000,21.750000,21.750000,325
2019-08-22,21.500000,21.500000,20.700001,20.700001,20.700001,1042
2019-08-23,20.950001,21.700001,19.700001,19.700001,19.700001,655
2019-08-26,20.600000,20.650000,18.750000,19.250000,19.250000,526
2019-08-27,20.150000,20.200001,19.500000,19.950001,19.950001,72
2019-08-28,19.950001,19.950001,19.950001,19.950001,19.950001,5
2019-08-29,19.000000,20.750000,19.000000,20.750000,20.750000,278
2019-08-30,21.700001,21.750000,21.700001,21.750000,21.750000,75
2019-09-03,21.750000,21.750000,21.750000,21.750000,21.750000,0
2019-09-04,21.750000,21.750000,21.750000,21.750000,21.750000,50
2019-09-05,20.700001,20.700001,20.700001,20.700001,20.700001,10
2019-09-06,19.700001,19.900000,19.700001,19.850000,19.850000,219
2019-09-09,18.900000,20.750000,18.900000,19.100000,19.100000,303
2019-09-11,19.049999,19.049999,18.200001,18.200001,18.200001,1212
2019-09-12,17.299999,19.100000,17.299999,18.350000,18.350000,190
2019-09-13,19.250000,19.250000,19.250000,19.250000,19.250000,100
2019-09-16,20.200001,20.200001,20.200001,20.200001,20.200001,40
2019-09-17,21.200001,21.200001,19.250000,19.400000,19.400000,254
2019-09-18,20.299999,20.299999,19.400000,19.650000,19.650000,125
2019-09-19,18.700001,20.600000,18.700001,19.700001,19.700001,712
2019-09-20,19.049999,20.650000,19.049999,20.049999,20.049999,325
2019-09-23,19.049999,21.000000,19.049999,20.900000,20.900000,51
2019-09-24,19.900000,20.000000,19.900000,20.000000,20.000000,350
2019-09-25,20.000000,20.049999,19.000000,19.750000,19.750000,157
2019-09-26,20.049999,20.049999,19.200001,19.799999,19.799999,110
2019-09-27,20.000000,20.000000,20.000000,20.000000,20.000000,10
2019-09-30,19.000000,20.000000,19.000000,20.000000,20.000000,670
2019-10-01,20.000000,20.000000,20.000000,20.000000,20.000000,0
2019-10-03,20.000000,20.000000,20.000000,20.000000,20.000000,5
2019-10-04,21.000000,21.000000,19.000000,21.000000,21.000000,174
2019-10-07,21.850000,21.850000,21.850000,21.850000,21.850000,20
2019-10-09,22.000000,24.000000,22.000000,23.850000,23.850000,3544
2019-10-10,23.850000,26.200001,22.350000,22.549999,22.549999,2181
2019-10-11,20.299999,24.799999,20.299999,24.600000,24.600000,5057
2019-10-14,25.150000,26.950001,25.150000,26.950001,26.950001,141
2019-10-15,29.549999,29.549999,24.299999,29.400000,29.400000,466
2019-10-16,30.000000,30.000000,28.700001,29.750000,29.750000,81
2019-10-17,29.700001,31.000000,29.700001,29.799999,29.799999,523
2019-10-18,29.799999,29.799999,29.799999,29.799999,29.799999,0
2019-10-22,31.000000,31.000000,28.350000,28.350000,28.350000,56
2019-10-23,28.200001,28.200001,28.150000,28.150000,28.150000,4
2019-10-24,28.150000,28.150000,28.150000,28.150000,28.150000,0
2019-10-25,29.549999,29.549999,29.400000,29.400000,29.400000,21
2019-10-27,30.250000,30.250000,30.200001,30.200001,30.200001,11
2019-10-29,30.150000,30.150000,30.150000,30.150000,30.150000,25
2019-10-30,30.150000,30.150000,30.150000,30.150000,30.150000,0
2019-10-31,30.100000,30.100000,30.049999,30.049999,30.049999,110
2019-11-01,30.000000,30.000000,29.900000,29.950001,29.950001,28
2019-11-04,31.400000,31.400000,30.450001,30.450001,30.450001,15
2019-11-05,30.450001,30.450001,30.450001,30.450001,30.450001,0
2019-11-06,28.950001,30.299999,28.950001,30.299999,30.299999,11
2019-11-07,31.500000,31.500000,31.450001,31.450001,31.450001,61
2019-11-08,31.250000,31.250000,31.250000,31.250000,31.250000,1
2019-11-11,32.000000,32.000000,31.799999,31.799999,31.799999,5
2019-11-13,32.500000,32.500000,31.850000,31.850000,31.850000,2604
2019-11-14,31.850000,31.850000,31.850000,31.850000,31.850000,0
2019-11-15,31.850000,31.850000,31.850000,31.850000,31.850000,0
2019-11-18,28.799999,28.799999,28.799999,28.799999,28.799999,70
2019-11-19,30.200001,30.200001,27.400000,27.400000,27.400000,56
2019-11-20,27.400000,27.400000,26.049999,26.049999,26.049999,201
2019-11-21,24.750000,24.750000,24.750000,24.750000,24.750000,50
2019-11-22,25.950001,25.950001,23.549999,25.700001,25.700001,410
2019-11-25,25.700001,25.700001,24.450001,24.450001,24.450001,714
2019-11-26,23.250000,23.250000,23.250000,23.250000,23.250000,186
2019-11-27,23.000000,23.000000,22.100000,22.100000,22.100000,250
2019-11-28,21.000000,23.200001,21.000000,23.200001,23.200001,2532
2019-11-29,22.049999,24.350000,22.049999,22.049999,22.049999,209
2019-12-02,22.049999,22.049999,22.049999,22.049999,22.049999,50
2019-12-03,23.150000,23.150000,23.150000,23.150000,23.150000,4
2019-12-04,23.150000,23.150000,22.000000,22.000000,22.000000,80
2019-12-05,22.000000,22.000000,22.000000,22.000000,22.000000,0
2019-12-06,20.900000,23.100000,20.900000,22.000000,22.000000,1191
2019-12-09,22.000000,22.000000,22.000000,22.000000,22.000000,0
2019-12-10,20.900000,23.100000,20.900000,20.900000,20.900000,162
2019-12-11,20.299999,21.900000,19.900000,21.900000,21.900000,600
2019-12-12,20.850000,20.900000,20.850000,20.850000,20.850000,526
2019-12-13,19.900000,19.900000,19.900000,19.900000,19.900000,199
2019-12-16,18.950001,19.100000,18.950001,19.100000,19.100000,224
2019-12-17,19.100000,20.049999,18.750000,20.049999,20.049999,224
2019-12-18,21.049999,21.049999,20.049999,21.049999,21.049999,317
2019-12-19,20.200001,22.100000,20.200001,22.100000,22.100000,302
2019-12-20,21.200001,23.200001,21.200001,21.750000,21.750000,5
2019-12-23,20.750000,22.799999,20.700001,22.650000,22.650000,1305
2019-12-24,23.600000,23.600000,23.600000,23.600000,23.600000,6
2019-12-26,24.600000,24.600000,23.600000,24.250000,24.250000,121
2019-12-27,24.200001,25.299999,24.200001,25.299999,25.299999,8
2019-12-30,26.400000,26.450001,26.250000,26.400000,26.400000,5
2019-12-31,26.000000,27.700001,25.100000,27.600000,27.600000,529
2020-01-01,27.400000,27.400000,27.299999,27.299999,27.299999,57
2020-01-02,27.049999,27.500000,27.049999,27.500000,27.500000,2000
2020-01-03,27.500000,27.500000,27.450001,27.450001,27.450001,110
2020-01-06,27.450001,28.799999,27.450001,28.500000,28.500000,12
2020-01-07,27.100000,27.100000,27.100000,27.100000,27.100000,5
2020-01-08,27.100000,27.100000,27.100000,27.100000,27.100000,0
2020-01-09,28.450001,28.450001,27.600000,27.850000,27.850000,320
2020-01-10,26.500000,26.500000,26.500000,26.500000,26.500000,5
2020-01-13,25.200001,26.000000,25.200001,26.000000,26.000000,6
2020-01-14,26.000000,26.000000,26.000000,26.000000,26.000000,0
2020-01-15,26.000000,26.000000,26.000000,26.000000,26.000000,0
2020-01-16,26.000000,26.000000,26.000000,26.000000,26.000000,0
2020-01-17,26.000000,26.000000,26.000000,26.000000,26.000000,0
2020-01-20,25.950001,26.000000,25.950001,26.000000,26.000000,6
2020-01-21,25.950001,25.950001,24.700001,24.750000,24.750000,1355
2020-01-22,23.549999,25.950001,23.549999,23.549999,23.549999,347
2020-01-23,22.400000,22.400000,22.400000,22.400000,22.400000,635
2020-01-24,21.299999,23.450001,21.299999,21.750000,21.750000,150
2020-01-27,20.700001,22.000000,20.700001,20.700001,20.700001,480
2020-01-28,21.700001,21.700001,19.700001,19.750000,19.750000,5301
2020-01-29,20.700001,20.700001,20.700001,20.700001,20.700001,10
2020-01-30,19.700001,21.700001,19.700001,21.549999,21.549999,1639
2020-01-31,22.400000,22.600000,22.400000,22.549999,22.549999,3
2020-02-03,23.700001,23.700001,22.299999,22.299999,22.299999,211
2020-02-04,22.299999,22.299999,22.299999,22.299999,22.299999,0
2020-02-05,21.200001,21.200001,21.200001,21.200001,21.200001,1113
2020-02-06,21.000000,21.000000,20.150000,20.150000,20.150000,268
2020-02-07,20.150000,20.150000,19.200001,19.549999,19.549999,180
2020-02-10,20.500000,20.500000,19.549999,19.549999,19.549999,11
2020-02-11,18.600000,20.500000,18.600000,20.450001,20.450001,367
2020-02-12,20.000000,20.400000,19.799999,20.400000,20.400000,57
2020-02-13,19.400000,19.500000,19.400000,19.500000,19.500000,131
2020-02-14,18.549999,20.000000,18.549999,18.600000,18.600000,105
2020-02-17,18.600000,18.650000,17.700001,18.000000,18.000000,291
2020-02-18,17.150000,18.900000,17.100000,18.700001,18.700001,844
2020-02-19,18.700001,18.700001,18.700001,18.700001,18.700001,153
2020-02-20,17.900000,19.500000,17.799999,17.850000,17.850000,23155
2020-02-24,18.700001,18.700001,17.000000,17.000000,17.000000,1745
2020-02-25,16.150000,17.700001,16.150000,17.450001,17.450001,1019
2020-02-26,17.400000,18.250000,17.400000,18.250000,18.250000,1954
2020-02-27,18.200001,18.200001,18.200001,18.200001,18.200001,300
2020-02-28,17.950001,17.950001,17.950001,17.950001,17.950001,100
2020-03-02,18.500000,18.650000,18.500000,18.650000,18.650000,451
2020-03-03,18.650000,18.650000,18.650000,18.650000,18.650000,0
2020-03-04,18.450001,18.450001,18.450001,18.450001,18.450001,2
2020-03-05,18.450001,18.450001,18.450001,18.450001,18.450001,0
2020-03-06,18.450001,18.450001,18.450001,18.450001,18.450001,0
2020-03-09,18.450001,18.450001,18.450001,18.450001,18.450001,0
2020-03-11,19.350000,19.350000,18.950001,18.950001,18.950001,14
2020-03-12,18.049999,18.049999,18.049999,18.049999,18.049999,46
2020-03-13,18.950001,18.950001,18.650000,18.650000,18.650000,22
2020-03-16,18.600000,19.500000,18.000000,18.000000,18.000000,530
2020-03-17,17.950001,17.950001,17.100000,17.900000,17.900000,674
2020-03-18,17.850000,17.850000,17.750000,17.750000,17.750000,17
2020-03-19,18.600000,18.600000,18.450001,18.450001,18.450001,14
2020-03-20,18.450001,18.450001,18.450001,18.450001,18.450001,0
2020-03-23,18.450001,18.450001,17.650000,17.650000,17.650000,405
2020-03-24,17.600000,17.600000,17.500000,17.500000,17.500000,2
2020-03-25,17.500000,17.500000,17.500000,17.500000,17.500000,0
2020-03-26,17.000000,17.000000,16.650000,16.650000,16.650000,1058
2020-03-27,16.549999,16.549999,16.549999,16.549999,16.549999,110
2020-03-30,15.750000,15.750000,15.750000,15.750000,15.750000,189
2020-03-31,16.500000,16.500000,15.550000,15.700000,15.700000,175
2020-04-01,15.700000,15.700000,15.450000,15.450000,15.450000,190
2020-04-03,15.250000,15.250000,14.700000,15.250000,15.250000,108
2020-04-07,15.000000,15.000000,15.000000,15.000000,15.000000,22
2020-04-08,15.000000,15.000000,14.250000,14.250000,14.250000,2044
2020-04-09,14.900000,14.900000,13.550000,14.400000,14.400000,1295
2020-04-13,14.200000,15.000000,13.700000,13.750000,13.750000,991
2020-04-15,13.600000,14.400000,13.100000,13.350000,13.350000,4127
2020-04-16,13.950000,14.000000,12.700000,13.250000,13.250000,2440
2020-04-17,13.900000,13.900000,13.300000,13.500000,13.500000,2017
2020-04-20,13.500000,13.800000,13.350000,13.800000,13.800000,1271
2020-04-21,13.800000,14.350000,13.500000,13.750000,13.750000,357
2020-04-22,14.350000,14.350000,13.200000,13.250000,13.250000,251
2020-04-23,13.250000,13.900000,13.250000,13.900000,13.900000,1331
2020-04-24,13.900000,14.550000,13.250000,14.500000,14.500000,3825
2020-04-27,14.500000,15.000000,13.800000,14.550000,14.550000,1356
2020-04-28,14.550000,14.950000,14.000000,14.950000,14.950000,281
2020-04-29,15.650000,15.650000,14.250000,15.250000,15.250000,2005
2020-04-30,15.150000,15.150000,14.500000,14.950000,14.950000,1458
2020-05-04,14.950000,14.950000,14.210000,14.950000,14.950000,504
2020-05-05,14.220000,15.630000,14.220000,15.030000,15.030000,849
2020-05-06,15.450000,15.450000,14.300000,14.310000,14.310000,303
2020-05-07,13.620000,14.920000,13.600000,13.700000,13.700000,2502
2020-05-08,13.600000,14.380000,13.140000,13.500000,13.500000,1980
2020-05-11,13.500000,13.500000,13.250000,13.250000,13.250000,96
2020-05-12,13.250000,13.250000,12.610000,12.960000,12.960000,47
2020-05-13,12.970000,13.500000,12.970000,12.970000,12.970000,280
2020-05-14,13.060000,13.070000,13.060000,13.070000,13.070000,4
2020-05-15,13.720000,13.720000,13.720000,13.720000,13.720000,750
2020-05-18,13.720000,14.400000,13.080000,13.500000,13.500000,385
2020-05-19,12.830000,14.160000,12.830000,13.500000,13.500000,333
2020-05-20,12.830000,14.170000,12.830000,13.110000,13.110000,313
2020-05-21,13.110000,13.230000,13.110000,13.230000,13.230000,663
2020-05-22,13.260000,13.890000,13.010000,13.890000,13.890000,1395
2020-05-26,14.580000,14.580000,13.910000,14.580000,14.580000,977
2020-05-27,15.000000,15.290000,14.580000,15.290000,15.290000,699
2020-05-28,15.290000,15.990000,15.290000,15.460000,15.460000,270
2020-05-29,15.990000,16.190001,14.700000,15.030000,15.030000,650
2020-06-01,14.300000,15.650000,14.300000,14.700000,14.700000,7038
2020-06-02,15.300000,15.400000,15.000000,15.300000,15.300000,930
2020-06-03,16.049999,16.049999,14.700000,16.000000,16.000000,2721
2020-06-04,16.000000,16.799999,16.000000,16.799999,16.799999,3024
2020-06-05,18.350000,18.350000,15.500000,17.799999,17.799999,1525
2020-06-08,19.500000,19.500000,16.299999,17.650000,17.650000,3709
2020-06-09,16.000000,18.000000,16.000000,17.549999,17.549999,1173
2020-06-10,15.800000,18.450001,15.800000,16.150000,16.150000,596
2020-06-11,16.850000,17.600000,15.000000,16.000000,16.000000,2943
2020-06-12,16.000000,16.750000,15.100000,16.250000,16.250000,540
2020-06-15,17.350000,17.350000,14.700000,15.700000,15.700000,3235
2020-06-16,17.000000,17.000000,15.050000,16.000000,16.000000,345
2020-06-17,17.100000,17.100000,15.350000,15.700000,15.700000,2557
